time,x,y,z,qw,qx,qy,qz
0.0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.03623188,0.000000,-0.001431,0.003984,1.000000,0.000000,0.000000,0.000000
0.07246377,0.000000,-0.003492,0.008373,1.000000,0.000000,0.000000,0.000000
0.10869565,0.000000,-0.006160,0.013158,1.000000,0.000000,0.000000,0.000000
0.14492754,0.000000,-0.009410,0.018331,1.000000,0.000000,0.000000,0.000000
0.18115942,0.000000,-0.013217,0.023884,1.000000,0.000000,0.000000,0.000000
0.2173913,0.000000,-0.017557,0.029808,1.000000,0.000000,0.000000,0.000000
0.25362319,0.000000,-0.022404,0.036095,1.000000,0.000000,0.000000,0.000000
0.28985507,0.000000,-0.027736,0.042737,1.000000,0.000000,0.000000,0.000000
0.32608696,0.000000,-0.033526,0.049726,1.000000,0.000000,0.000000,0.000000
0.36231884,0.000000,-0.039751,0.057052,1.000000,0.000000,0.000000,0.000000
0.39855072,0.000000,-0.046386,0.064708,1.000000,0.000000,0.000000,0.000000
0.43478261,0.000000,-0.053405,0.072686,1.000000,0.000000,0.000000,0.000000
0.47101449,0.000000,-0.060786,0.080977,1.000000,0.000000,0.000000,0.000000
0.50724638,0.000000,-0.068503,0.089573,1.000000,0.000000,0.000000,0.000000
0.54347826,0.000000,-0.076531,0.098465,1.000000,0.000000,0.000000,0.000000
0.57971014,0.000000,-0.084847,0.107646,1.000000,0.000000,0.000000,0.000000
0.61594203,0.000000,-0.093424,0.117106,1.000000,0.000000,0.000000,0.000000
0.65217391,0.000000,-0.102240,0.126838,1.000000,0.000000,0.000000,0.000000
0.6884058,0.000000,-0.111269,0.136833,1.000000,0.000000,0.000000,0.000000
0.72463768,0.000000,-0.120487,0.147084,1.000000,0.000000,0.000000,0.000000
0.76086957,0.000000,-0.129869,0.157581,1.000000,0.000000,0.000000,0.000000
0.79710145,0.000000,-0.139391,0.168316,1.000000,0.000000,0.000000,0.000000
0.83333333,0.000000,-0.149027,0.179281,1.000000,0.000000,0.000000,0.000000
0.86956522,0.000000,-0.158755,0.190468,1.000000,0.000000,0.000000,0.000000
