time,x,y,z,qw,qx,qy,qz
0.0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.09615385,0.000000,0.000000,0.000000,0.999886,0.000000,0.015103,0.000000
0.19230769,0.000000,0.000000,0.000000,0.999544,0.000000,0.030203,0.000000
0.28846154,0.000000,0.000000,0.000000,0.998974,0.000000,0.045296,0.000000
0.38461538,0.000000,0.000000,0.000000,0.998176,0.000000,0.060378,0.000000
0.48076923,0.000000,0.000000,0.000000,0.997150,0.000000,0.075447,0.000000
0.57692308,0.000000,0.000000,0.000000,0.995897,0.000000,0.090499,0.000000
0.67307692,0.000000,0.000000,0.000000,0.994416,0.000000,0.105530,0.000000
0.76923077,0.000000,0.000000,0.000000,0.992709,0.000000,0.120537,0.000000
0.86538462,0.000000,0.000000,0.000000,0.990775,0.000000,0.135516,0.000000
0.96153846,0.000000,0.000000,0.000000,0.988615,0.000000,0.150465,0.000000
1.05769231,0.000000,0.000000,0.000000,0.986230,0.000000,0.165379,0.000000
1.15384615,0.000000,0.000000,0.000000,0.983620,0.000000,0.180255,0.000000
1.25,0.000000,0.000000,0.000000,0.980785,0.000000,0.195090,0.000000
1.34615385,0.000000,0.000000,0.000000,0.977727,0.000000,0.209881,0.000000
1.44230769,0.000000,0.000000,0.000000,0.974446,0.000000,0.224624,0.000000
1.53846154,0.000000,0.000000,0.000000,0.970942,0.000000,0.239316,0.000000
1.63461538,0.000000,0.000000,0.000000,0.967217,0.000000,0.253953,0.000000
1.73076923,0.000000,0.000000,0.000000,0.963271,0.000000,0.268532,0.000000
1.82692308,0.000000,0.000000,0.000000,0.959105,0.000000,0.283050,0.000000
1.92307692,0.000000,0.000000,0.000000,0.954721,0.000000,0.297503,0.000000
2.01923077,0.000000,0.000000,0.000000,0.950119,0.000000,0.311888,0.000000
2.11538462,0.000000,0.000000,0.000000,0.945300,0.000000,0.326203,0.000000
2.21153846,0.000000,0.000000,0.000000,0.940265,0.000000,0.340443,0.000000
2.30769231,0.000000,0.000000,0.000000,0.935016,0.000000,0.354605,0.000000
2.40384615,0.000000,0.000000,0.000000,0.929554,0.000000,0.368686,0.000000
