time,x,y,z,qw,qx,qy,qz
0.0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.06666667,0.000000,0.000000,-0.005000,1.000000,0.000000,0.000000,0.000000
0.13333333,0.000000,0.000000,-0.010000,1.000000,0.000000,0.000000,0.000000
0.2,0.000000,0.000000,-0.015000,1.000000,0.000000,0.000000,0.000000
0.26666667,0.000000,0.000000,-0.020000,1.000000,0.000000,0.000000,0.000000
0.33333333,0.000000,0.000000,-0.025000,1.000000,0.000000,0.000000,0.000000
0.4,0.000000,0.000000,-0.030000,1.000000,0.000000,0.000000,0.000000
0.46666667,0.000000,0.000000,-0.035000,1.000000,0.000000,0.000000,0.000000
0.53333333,0.000000,0.000000,-0.040000,1.000000,0.000000,0.000000,0.000000
0.6,0.000000,0.000000,-0.045000,1.000000,0.000000,0.000000,0.000000
0.66666667,0.000000,0.000000,-0.050000,1.000000,0.000000,0.000000,0.000000
0.73333333,0.000000,0.000000,-0.055000,1.000000,0.000000,0.000000,0.000000
0.8,0.000000,0.000000,-0.060000,1.000000,0.000000,0.000000,0.000000
0.86666667,0.000000,0.000000,-0.065000,1.000000,0.000000,0.000000,0.000000
0.93333333,0.000000,0.000000,-0.070000,1.000000,0.000000,0.000000,0.000000
1.0,0.000000,0.000000,-0.075000,1.000000,0.000000,0.000000,0.000000
1.06666667,0.000000,0.000000,-0.080000,1.000000,0.000000,0.000000,0.000000
1.13333333,0.000000,0.000000,-0.085000,1.000000,0.000000,0.000000,0.000000
1.2,0.000000,0.000000,-0.090000,1.000000,0.000000,0.000000,0.000000
1.26666667,0.000000,0.000000,-0.095000,1.000000,0.000000,0.000000,0.000000
1.33333333,0.000000,0.000000,-0.100000,1.000000,0.000000,0.000000,0.000000
1.4,0.000000,0.000000,-0.105000,1.000000,0.000000,0.000000,0.000000
1.46666667,0.000000,0.000000,-0.110000,1.000000,0.000000,0.000000,0.000000
1.53333333,0.000000,0.000000,-0.115000,1.000000,0.000000,0.000000,0.000000
1.6,0.000000,0.000000,-0.120000,1.000000,0.000000,0.000000,0.000000
1.66666667,0.000000,0.000000,-0.125000,1.000000,0.000000,0.000000,0.000000
1.73333333,0.000000,0.000000,-0.130000,1.000000,0.000000,0.000000,0.000000
1.8,0.000000,0.000000,-0.135000,1.000000,0.000000,0.000000,0.000000
1.86666667,0.000000,0.000000,-0.140000,1.000000,0.000000,0.000000,0.000000
1.93333333,0.000000,0.000000,-0.145000,1.000000,0.000000,0.000000,0.000000
2.0,0.000000,0.000000,-0.150000,1.000000,0.000000,0.000000,0.000000
2.06666667,0.000000,0.000000,-0.155000,1.000000,0.000000,0.000000,0.000000
2.13333333,0.000000,0.000000,-0.160000,1.000000,0.000000,0.000000,0.000000
2.2,0.000000,0.000000,-0.165000,1.000000,0.000000,0.000000,0.000000
2.26666667,0.000000,0.000000,-0.170000,1.000000,0.000000,0.000000,0.000000
2.33333333,0.000000,0.000000,-0.175000,1.000000,0.000000,0.000000,0.000000
2.4,0.000000,0.000000,-0.180000,1.000000,0.000000,0.000000,0.000000
2.46666667,0.000000,0.000000,-0.185000,1.000000,0.000000,0.000000,0.000000
2.53333333,0.000000,0.000000,-0.190000,1.000000,0.000000,0.000000,0.000000
2.6,0.000000,0.000000,-0.195000,1.000000,0.000000,0.000000,0.000000
2.66666667,0.000000,0.000000,-0.200000,1.000000,0.000000,0.000000,0.000000
2.73333333,0.000000,0.000000,-0.205000,1.000000,0.000000,0.000000,0.000000
2.8,0.000000,0.000000,-0.210000,1.000000,0.000000,0.000000,0.000000
2.86666667,0.000000,0.000000,-0.215000,1.000000,0.000000,0.000000,0.000000
2.93333333,0.000000,0.000000,-0.220000,1.000000,0.000000,0.000000,0.000000
3.0,0.000000,0.000000,-0.225000,1.000000,0.000000,0.000000,0.000000
3.06666667,0.000000,0.000000,-0.230000,1.000000,0.000000,0.000000,0.000000
3.13333333,0.000000,0.000000,-0.235000,1.000000,0.000000,0.000000,0.000000
3.2,0.000000,0.000000,-0.240000,1.000000,0.000000,0.000000,0.000000
3.26666667,0.000000,0.000000,-0.245000,1.000000,0.000000,0.000000,0.000000
3.33333333,0.000000,0.000000,-0.250000,1.000000,0.000000,0.000000,0.000000
3.4,0.000000,0.000000,-0.255000,1.000000,0.000000,0.000000,0.000000
3.46666667,0.000000,0.000000,-0.260000,1.000000,0.000000,0.000000,0.000000
3.53333333,0.000000,0.000000,-0.265000,1.000000,0.000000,0.000000,0.000000
3.6,0.000000,0.000000,-0.270000,1.000000,0.000000,0.000000,0.000000
3.66666667,0.000000,0.000000,-0.275000,1.000000,0.000000,0.000000,0.000000
3.73333333,0.000000,0.000000,-0.280000,1.000000,0.000000,0.000000,0.000000
3.8,0.000000,0.000000,-0.285000,1.000000,0.000000,0.000000,0.000000
3.86666667,0.000000,0.000000,-0.290000,1.000000,0.000000,0.000000,0.000000
3.93333333,0.000000,0.000000,-0.295000,1.000000,0.000000,0.000000,0.000000
4.0,0.000000,0.000000,-0.300000,1.000000,0.000000,0.000000,0.000000
4.06666667,0.000000,-0.005000,-0.300000,1.000000,0.000000,0.000000,0.000000
