time,x,y,z,qw,qx,qy,qz
0.0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.06269592,0.000000,0.005000,0.000000,1.000000,0.000000,0.000000,0.000000
0.12539185,0.000000,0.010000,0.000000,1.000000,0.000000,0.000000,0.000000
0.18808777,0.000000,0.015000,0.000000,1.000000,0.000000,0.000000,0.000000
0.2507837,0.000000,0.020000,0.000000,1.000000,0.000000,0.000000,0.000000
0.31347962,0.000000,0.025000,0.000000,1.000000,0.000000,0.000000,0.000000
0.37617555,0.000000,0.030000,0.000000,1.000000,0.000000,0.000000,0.000000
0.43887147,0.000000,0.035000,0.000000,1.000000,0.000000,0.000000,0.000000
0.5015674,0.000000,0.040000,0.000000,1.000000,0.000000,0.000000,0.000000
0.56426332,0.000000,0.045000,0.000000,1.000000,0.000000,0.000000,0.000000
0.62695925,0.000000,0.050000,0.000000,1.000000,0.000000,0.000000,0.000000
0.68965517,0.000000,0.055000,0.000000,1.000000,0.000000,0.000000,0.000000
0.7523511,0.000000,0.060000,0.000000,1.000000,0.000000,0.000000,0.000000
0.81504702,0.000000,0.065000,0.000000,1.000000,0.000000,0.000000,0.000000
0.87774295,0.000000,0.070000,0.000000,1.000000,0.000000,0.000000,0.000000
0.94043887,0.000000,0.075000,0.000000,1.000000,0.000000,0.000000,0.000000
1.0031348,0.000000,0.080000,0.000000,1.000000,0.000000,0.000000,0.000000
1.06583072,0.000000,0.085000,0.000000,1.000000,0.000000,0.000000,0.000000
1.12852665,0.000000,0.090000,0.000000,1.000000,0.000000,0.000000,0.000000
1.19122257,0.000000,0.095000,0.000000,1.000000,0.000000,0.000000,0.000000
1.2539185,0.000000,0.100000,0.000000,1.000000,0.000000,0.000000,0.000000
1.31661442,0.000000,0.105000,0.000000,1.000000,0.000000,0.000000,0.000000
1.37931034,0.000000,0.110000,0.000000,1.000000,0.000000,0.000000,0.000000
1.44200627,0.000000,0.115000,0.000000,1.000000,0.000000,0.000000,0.000000
1.50470219,0.000000,0.120000,0.000000,1.000000,0.000000,0.000000,0.000000
1.56739812,0.000000,0.125000,0.000000,1.000000,0.000000,0.000000,0.000000
1.63009404,0.000000,0.130000,0.000000,1.000000,0.000000,0.000000,0.000000
1.69278997,0.000000,0.135000,0.000000,1.000000,0.000000,0.000000,0.000000
1.75548589,0.000000,0.140000,0.000000,1.000000,0.000000,0.000000,0.000000
1.81818182,0.000000,0.145000,0.000000,1.000000,0.000000,0.000000,0.000000
1.88087774,0.000000,0.150000,0.000000,1.000000,0.000000,0.000000,0.000000
1.94357367,0.000000,0.155000,0.000000,1.000000,0.000000,0.000000,0.000000
2.00626959,0.000000,0.160000,0.000000,1.000000,0.000000,0.000000,0.000000
2.06896552,0.000000,0.165000,0.000000,1.000000,0.000000,0.000000,0.000000
2.13166144,0.000000,0.170000,0.000000,1.000000,0.000000,0.000000,0.000000
2.19435737,0.000000,0.175000,0.000000,1.000000,0.000000,0.000000,0.000000
2.25705329,0.000000,0.180000,0.000000,1.000000,0.000000,0.000000,0.000000
2.31974922,0.000000,0.185000,0.000000,1.000000,0.000000,0.000000,0.000000
2.38244514,0.000000,0.190000,0.000000,1.000000,0.000000,0.000000,0.000000
2.44514107,0.000000,0.195000,0.000000,1.000000,0.000000,0.000000,0.000000
2.50783699,0.000000,0.200000,0.000000,1.000000,0.000000,0.000000,0.000000
2.57053292,-0.002083,0.200000,-0.001389,1.000000,0.000000,0.000000,0.000000
2.63322884,-0.004167,0.200000,-0.002778,1.000000,0.000000,0.000000,0.000000
2.69592476,-0.006250,0.200000,-0.004167,1.000000,0.000000,0.000000,0.000000
2.75862069,-0.008333,0.200000,-0.005556,1.000000,0.000000,0.000000,0.000000
2.82131661,-0.010417,0.200000,-0.006945,1.000000,0.000000,0.000000,0.000000
2.88401254,-0.012500,0.200000,-0.008333,1.000000,0.000000,0.000000,0.000000
2.94670846,-0.014583,0.200000,-0.009722,1.000000,0.000000,0.000000,0.000000
3.00940439,-0.016667,0.200000,-0.011111,1.000000,0.000000,0.000000,0.000000
3.07210031,-0.018750,0.200000,-0.012500,1.000000,0.000000,0.000000,0.000000
3.13479624,-0.020833,0.200000,-0.013889,1.000000,0.000000,0.000000,0.000000
3.19749216,-0.022916,0.200000,-0.015278,1.000000,0.000000,0.000000,0.000000
3.26018809,-0.025000,0.200000,-0.016667,1.000000,0.000000,0.000000,0.000000
3.32288401,-0.027083,0.200000,-0.018055,1.000000,0.000000,0.000000,0.000000
3.38557994,-0.029167,0.200000,-0.019444,1.000000,0.000000,0.000000,0.000000
3.44827586,-0.031250,0.200000,-0.020833,1.000000,0.000000,0.000000,0.000000
3.51097179,-0.032292,0.200000,-0.021528,1.000000,0.000000,0.000000,0.000000
3.57366771,-0.033333,0.200000,-0.022222,1.000000,0.000000,0.000000,0.000000
3.63636364,-0.035416,0.200000,-0.023611,1.000000,0.000000,0.000000,0.000000
3.69905956,-0.036458,0.200000,-0.024306,1.000000,0.000000,0.000000,0.000000
3.76175549,-0.037500,0.200000,-0.025000,1.000000,0.000000,0.000000,0.000000
3.82445141,-0.039584,0.200000,-0.026389,1.000000,0.000000,0.000000,0.000000
3.88714734,-0.041667,0.200000,-0.027778,1.000000,0.000000,0.000000,0.000000
3.94984326,-0.043750,0.200000,-0.029167,1.000000,0.000000,0.000000,0.000000
4.01253918,-0.045833,0.200000,-0.030556,1.000000,0.000000,0.000000,0.000000
4.07523511,-0.047917,0.200000,-0.031945,1.000000,0.000000,0.000000,0.000000
4.13793103,-0.050000,0.200000,-0.033333,1.000000,0.000000,0.000000,0.000000
4.20062696,-0.054167,0.200000,-0.036111,1.000000,0.000000,0.000000,0.000000
4.26332288,-0.058333,0.200000,-0.038889,1.000000,0.000000,0.000000,0.000000
4.32601881,-0.060416,0.200000,-0.040278,1.000000,0.000000,0.000000,0.000000
4.38871473,-0.062500,0.200000,-0.041667,1.000000,0.000000,0.000000,0.000000
4.45141066,-0.066667,0.200000,-0.044444,1.000000,0.000000,0.000000,0.000000
4.51410658,-0.070833,0.200000,-0.047222,1.000000,0.000000,0.000000,0.000000
4.57680251,-0.075000,0.200000,-0.050000,1.000000,0.000000,0.000000,0.000000
4.63949843,-0.079167,0.200000,-0.052778,1.000000,0.000000,0.000000,0.000000
4.70219436,-0.083333,0.200000,-0.055556,1.000000,0.000000,0.000000,0.000000
4.76489028,-0.087500,0.200000,-0.058333,1.000000,0.000000,0.000000,0.000000
4.82758621,-0.091667,0.200000,-0.061111,1.000000,0.000000,0.000000,0.000000
4.89028213,-0.095833,0.200000,-0.063889,1.000000,0.000000,0.000000,0.000000
4.95297806,-0.100000,0.200000,-0.066667,1.000000,0.000000,0.000000,0.000000
5.01567398,-0.104167,0.200000,-0.069444,1.000000,0.000000,0.000000,0.000000
5.07836991,-0.108333,0.200000,-0.072222,1.000000,0.000000,0.000000,0.000000
5.14106583,-0.112500,0.200000,-0.075000,1.000000,0.000000,0.000000,0.000000
5.20376176,-0.116667,0.200000,-0.077778,1.000000,0.000000,0.000000,0.000000
5.26645768,-0.120833,0.200000,-0.080556,1.000000,0.000000,0.000000,0.000000
5.32915361,-0.125000,0.200000,-0.083333,1.000000,0.000000,0.000000,0.000000
5.39184953,-0.129167,0.200000,-0.086111,1.000000,0.000000,0.000000,0.000000
5.45454545,-0.133333,0.200000,-0.088889,1.000000,0.000000,0.000000,0.000000
5.51724138,-0.137500,0.200000,-0.091667,1.000000,0.000000,0.000000,0.000000
5.5799373,-0.141667,0.200000,-0.094444,1.000000,0.000000,0.000000,0.000000
5.64263323,-0.145833,0.200000,-0.097222,1.000000,0.000000,0.000000,0.000000
5.70532915,-0.150000,0.200000,-0.100000,1.000000,0.000000,0.000000,0.000000
5.76802508,-0.154167,0.200000,-0.102778,1.000000,0.000000,0.000000,0.000000
5.830721,-0.158333,0.200000,-0.105556,1.000000,0.000000,0.000000,0.000000
5.89341693,-0.162500,0.200000,-0.108333,1.000000,0.000000,0.000000,0.000000
5.95611285,-0.166667,0.200000,-0.111111,1.000000,0.000000,0.000000,0.000000
6.01880878,-0.170833,0.200000,-0.113889,1.000000,0.000000,0.000000,0.000000
6.0815047,-0.175000,0.200000,-0.116667,1.000000,0.000000,0.000000,0.000000
6.14420063,-0.179167,0.200000,-0.119444,1.000000,0.000000,0.000000,0.000000
6.20689655,-0.183333,0.200000,-0.122222,1.000000,0.000000,0.000000,0.000000
6.26959248,-0.187500,0.200000,-0.125000,1.000000,0.000000,0.000000,0.000000
6.3322884,-0.191667,0.200000,-0.127778,1.000000,0.000000,0.000000,0.000000
6.39498433,-0.195833,0.200000,-0.130556,1.000000,0.000000,0.000000,0.000000
6.45768025,-0.200000,0.200000,-0.133333,1.000000,0.000000,0.000000,0.000000
6.52037618,-0.204167,0.200000,-0.136111,1.000000,0.000000,0.000000,0.000000
